@relation higgs

@attribute mll numeric
@attribute mjj numeric
@attribute met-phi_centrality numeric
@attribute mt numeric
@attribute DYjj numeric
@attribute sumMlj numeric
@attribute dphill numeric
@attribute contOLV numeric
@attribute ptTotal numeric
@attribute label {-1, 1}

@data
0.13272,1.00107,0.38139,0.08881,0.62001,0.49885,0.2046,0.42957,0.17783,-1
0.1598,0.44349,0.90546,0.1203,0.5493,0.37337,0.51903,0.88017,0.21461,-1
0.07456,0.55293,0.5171,0.23581,0.47996,0.45045,0.03409,0.46909,0.16667,-1
0.06985,0.45054,0.59433,0.10577,0.41379,0.34618,0.06562,0.47676,0.2499,-1
0.15861,0.56593,0.89419,0.10428,0.60414,0.28363,0.34412,0.02686,0.38271,-1
0.10252,0.93723,0.43352,0.23228,0.72805,0.35462,0.03043,0.10979,0.40029,-1
0.09962,1.17724,0.49823,0.14007,0.83909,0.60568,0.0059,0.50538,0.15646,-1
0.22743,0.16298,0.78631,0.22916,0.24437,0.16419,0.62164,0.81962,0.30276,-1
0.18402,0.09778,0.16226,0.35146,0.18345,0.12141,0.34388,0.56926,0.17063,-1
0.10516,0.11973,0.21337,0.38385,0.364,0.12014,0.2114,0.5626,0.27208,-1
0.15783,0.06292,0.47805,0.34864,0.2422,0.12743,0.05215,0.35568,0.10873,-1
0.0834,0.11904,0.50164,0.258,0.24406,0.14376,0.11693,0.60485,0.32933,-1
0.521,0.15992,0.05045,0.40675,0.43424,0.23655,0.94705,0.71244,0.13913,-1
0.3387,0.37899,0.93888,0.24589,0.54415,0.2304,0.74293,0.43614,0.54836,-1
0.21818,0.10179,0.06655,0.34179,0.1939,0.09941,0.44364,0.33999,0.08676,-1
0.26151,0.1865,0.94838,0.18018,0.40711,0.14109,0.96349,0.58177,0.25481,-1
0.40423,0.3631,0.28162,0.45862,0.42477,0.26943,0.67753,0.51148,0.30105,-1
0.68082,0.1521,0.05062,0.46275,0.38225,0.2241,0.96511,0.17739,0.55229,-1
0.22889,0.32624,0.37168,0.50404,0.5032,0.24982,0.33965,0.27032,0.12558,-1
0.31827,0.03521,0.92721,0.21894,0.05327,0.08916,0.95185,0.92243,0.09233,-1
0.20369,0.29031,0.0902,0.44643,0.36026,0.26191,0.18994,0.14213,0.28823,-1
0.28187,0.64373,0.49184,0.42526,0.61391,0.39389,0.08622,0.31291,0.44626,-1
0.13419,0.14131,0.35202,0.4893,0.1771,0.17169,0.20576,0.61833,0.19424,-1
0.20782,0.11291,0.30129,0.47395,0.16786,0.17461,0.18615,0.44171,0.25123,-1
0.30403,0.06822,0.05748,0.33121,0.21608,0.097,0.78319,0.37236,0.29943,-1
0.27019,0.52123,0.95011,0.21661,0.69693,0.4024,0.99134,0.7395,0.30449,-1
0.34312,0.25188,0.50269,0.23894,0.29593,0.35158,0.0176,0.31262,0.49758,-1
0.38562,0.33265,0.34685,0.32621,0.46451,0.44153,0.18079,0.58744,0.29912,-1
0.35135,0.15272,0.05351,0.39111,0.19885,0.15619,0.69042,0.46936,0.23536,-1
0.44259,0.04727,0.77876,0.4315,0.08427,0.19888,0.55187,0.49165,0.59259,-1
