@relation higgs

@attribute mll numeric
@attribute mjj numeric
@attribute met-phi_centrality numeric
@attribute mt numeric
@attribute DYjj numeric
@attribute sumMlj numeric
@attribute dphill numeric
@attribute contOLV numeric
@attribute ptTotal numeric
@attribute label {-1, 1}

@data
0.08999,0.53529,0.69989,0.08357,0.51902,0.34607,0.18609,0.77887,0.55867,-1
0.20612,0.33057,0.06097,0.23567,0.52363,0.17723,0.68962,0.26775,0.10723,-1
0.1639,0.48095,0.53337,0.37459,0.35007,0.60914,0.08229,0.29881,0.10644,-1
0.25976,0.41062,0.44184,0.37888,0.40567,0.29293,0.19066,0.33268,0.46296,-1
0.07291,0.11834,0.496,0.20301,0.27082,0.13226,0.1,0.22572,0.36961,-1
0.22285,0.21805,0.40054,0.18811,0.4467,0.22857,0.21306,0.31321,0.14393,-1
0.25182,0.62284,0.52912,0.18265,0.55158,0.43807,0.08324,0.15237,0.19826,-1
0.13297,0.10547,0.3473,0.2947,0.24466,0.109,0.12195,0.36865,0.25262,-1
0.1027,0.52222,0.51956,0.15991,0.48408,0.22369,0.0626,0.21742,0.10024,-1
0.23621,0.39541,0.43331,0.32419,0.46906,0.42532,0.15723,0.28486,0.26464,-1
0.2368,0.42706,0.66512,0.26484,0.42611,0.29166,0.13394,0.35963,0.44123,-1
0.11899,0.09388,0.34092,0.29902,0.26088,0.13671,0.05423,0.28884,0.17118,-1
0.26665,0.23246,0.22715,0.28217,0.41188,0.17505,0.4193,0.32431,0.03021,-1
0.17482,0.21037,0.39372,0.17999,0.38098,0.22795,0.19006,0.18625,0.15859,-1
0.14543,0.36393,0.51194,0.11244,0.38384,0.25927,0.0064,0.21782,0.35389,-1
0.13369,0.83651,0.44542,0.26318,0.69508,0.3008,0.28486,0.10008,0.15114,-1
0.20362,0.60265,0.5369,0.38205,0.52308,0.30954,0.23397,0.30972,0.63063,-1
0.23389,1.4359,0.57833,0.27365,0.64878,0.69419,0.1226,0.11097,0.23115,-1
0.05987,0.84903,0.42267,0.39602,0.6679,0.3314,0.06418,0.11398,0.41081,-1
0.14861,0.21328,0.53707,0.22832,0.25353,0.21739,0.24297,0.07938,0.0269,-1
0.24723,0.90143,0.49754,0.43341,0.47161,0.77949,0.11924,0.23505,0.29452,-1
0.27951,0.81908,0.05005,0.26311,0.71455,0.48929,0.97791,0.6614,0.19036,-1
0.21754,0.74404,0.71451,0.19505,0.48441,0.47869,0.23059,0.10011,0.27928,-1
0.24144,1.63131,0.30854,0.28515,0.84647,0.52556,0.34535,0.14344,0.24016,-1
0.24767,1.31357,0.32771,0.29231,0.7197,0.65556,0.26667,0.10367,0.56886,-1
0.23764,0.26878,0.38094,0.31423,0.48177,0.20494,0.46433,0.23752,0.37632,-1
0.05836,0.75965,0.50427,0.10093,0.72479,0.50905,0.09538,0.52975,0.17656,-1
0.22146,0.9276,0.58894,0.27363,0.59372,0.57623,0.185,0.39681,0.17097,-1
0.12714,1.05503,0.31178,0.30321,0.6829,0.46848,0.20662,0.42548,0.30419,-1
0.19291,0.30492,0.43211,0.28148,0.58252,0.21104,0.05141,0.21841,0.44366,-1
0.18348,0.08263,0.6123,0.22957,0.16419,0.20556,0.24102,0.61079,0.16196,-1
0.1882,0.18332,0.13461,0.30096,0.33349,0.13376,0.447,0.35706,0.11725,-1
0.26611,0.36078,0.55057,0.24878,0.30163,0.4022,0.1185,0.55459,0.19428,-1
0.14551,0.23653,0.06375,0.33339,0.3732,0.16356,0.32221,0.36396,0.2063,-1
0.2033,0.5825,0.61809,0.14216,0.51975,0.36864,0.26182,0.10168,0.21176,-1
0.2229,0.20316,0.08126,0.25088,0.41826,0.15221,0.39979,0.27421,0.28715,-1
0.11177,0.20307,0.6832,0.06137,0.3268,0.2494,0.06671,0.44005,0.02662,-1
0.29267,0.62674,0.10563,0.33556,0.59974,0.29694,0.4652,0.26892,0.38188,-1
0.19568,0.16976,0.24123,0.23886,0.1958,0.13651,0.60069,0.87293,0.14019,-1
0.1239,0.68722,0.44888,0.3363,0.64321,0.32642,0.14939,0.09453,0.23684,-1
0.14137,0.43458,0.92314,0.11457,0.537,0.27177,0.16396,0.30674,0.2939,-1
0.13049,0.68842,0.55828,0.21541,0.45685,0.64797,0.06506,0.71673,0.14301,-1
0.18689,0.18962,0.46508,0.29776,0.3988,0.14597,0.31161,0.34096,0.09554,-1
0.19727,0.50743,0.47808,0.34129,0.38171,0.45066,0.08887,0.68727,0.20085,-1
0.12186,0.61908,0.74995,0.07486,0.50637,0.50465,0.10061,0.28423,0.38409,-1
0.20696,1.21463,0.47815,0.26368,0.74542,0.82561,0.2095,0.47524,0.34162,-1
0.28913,0.41663,0.31871,0.25218,0.42338,0.26791,0.67482,0.63384,0.38598,-1
0.17833,1.39063,0.60889,0.11875,0.64782,0.77964,0.07893,0.39242,0.05194,-1
0.15723,0.87511,0.58461,0.0962,0.70582,0.3999,0.06598,0.17323,0.63963,-1
0.12031,0.24308,0.51408,0.273,0.38652,0.31729,0.04891,0.09063,0.25975,-1
0.28362,0.68198,0.62574,0.16307,0.70104,0.31839,0.53092,0.13296,0.47868,-1
0.18814,1.10145,0.39639,0.2292,0.8737,0.40855,0.40824,0.27031,0.16199,-1
0.1614,0.29237,0.43438,0.31593,0.45169,0.19118,0.43687,0.30755,0.44367,-1
0.19154,0.65214,0.80656,0.13043,0.6565,0.40279,0.34337,0.42248,0.4319,-1
0.15607,0.43107,0.24409,0.30204,0.50345,0.29873,0.17134,0.22944,0.33375,-1
0.05594,0.52843,0.29477,0.26701,0.584,0.24093,0.05827,0.36651,0.05074,-1
0.0736,0.55798,0.60767,0.1154,0.6417,0.27394,0.13108,0.20339,0.25855,-1
0.12282,0.4123,0.4131,0.31472,0.51673,0.25421,0.22195,0.21175,0.13434,-1
0.10904,1.11635,0.52511,0.1468,0.7802,0.48004,0.1349,0.54239,0.1137,-1
0.29028,0.11054,0.18622,0.28171,0.28681,0.1189,0.6715,0.34466,0.10333,-1
0.17859,0.52869,0.73567,0.16956,0.58122,0.27163,0.38396,0.02657,0.30417,-1
0.15344,0.26712,0.79131,0.1708,0.32626,0.25743,0.2211,0.32633,0.52321,-1
0.17198,0.65373,0.49566,0.33619,0.63836,0.29016,0.02925,0.20628,0.30866,-1
0.24881,0.29376,0.5831,0.24434,0.40347,0.20868,0.51916,0.14323,0.24118,-1
0.13716,0.25467,0.35132,0.27793,0.46109,0.20451,0.18237,0.75093,0.15638,-1
0.27457,0.19667,0.05054,0.29424,0.42173,0.15131,0.91188,0.51351,0.22298,-1
0.092,0.1859,0.4787,0.19189,0.31458,0.14367,0.14649,0.21011,0.15988,-1
0.28724,0.1484,0.25518,0.28452,0.42291,0.17741,0.2626,0.34098,0.20774,-1
0.1909,0.4303,0.5936,0.24417,0.4808,0.50866,0.28017,0.93877,0.05119,-1
0.17695,0.10505,0.41222,0.27351,0.08935,0.13331,0.32973,0.52605,0.65055,-1
0.11718,0.23447,0.42971,0.19284,0.41495,0.21884,0.16545,0.26771,0.25979,-1
0.20018,0.67796,0.31738,0.29161,0.65086,0.41336,0.29455,0.36335,0.01762,-1
0.20769,1.52023,0.48431,0.23857,0.83747,0.63485,0.02262,0.12493,0.03599,-1
0.13824,0.36232,0.67903,0.18231,0.42115,0.23486,0.24115,0.2186,0.34694,-1
0.10703,0.27896,0.35329,0.30554,0.39018,0.19239,0.23402,0.30627,0.80305,-1
0.25669,0.80452,0.36278,0.2668,0.72229,0.36637,0.47941,0.14333,0.28726,-1
0.1295,0.61518,0.24655,0.1832,0.61171,0.24528,0.33583,0.06318,0.02796,-1
0.18343,0.43818,0.67914,0.13505,0.41819,0.22695,0.42719,0.36297,0.24397,-1
0.32394,0.36551,0.27976,0.59831,0.46554,0.40787,0.10329,0.24373,0.13344,-1
0.32325,0.2299,0.57004,0.21408,0.46406,0.19423,0.49525,0.29579,0.11927,-1
0.35774,1.3352,0.26009,0.50935,0.62398,0.87735,0.24437,0.28673,0.30625,-1
0.13957,0.80238,0.62115,0.08453,0.55439,0.49268,0.14129,0.08556,0.50546,-1
0.15526,0.91948,0.89359,0.0884,0.72596,0.39061,0.2658,0.30523,0.08022,-1
0.16684,0.41721,0.50301,0.1007,0.49266,0.21301,0.00482,0.30658,0.10646,-1
0.20886,0.3485,0.55279,0.22356,0.48868,0.36655,0.09386,0.13174,0.29751,-1
0.13805,0.2189,0.47964,0.33348,0.40648,0.28343,0.03369,0.16601,0.56072,-1
0.10284,0.9224,0.78719,0.08412,0.60173,0.54432,0.11012,0.30423,0.03196,-1
0.11111,1.36376,0.53877,0.18041,0.76704,0.58046,0.06582,0.35296,0.42103,-1
0.11284,0.3952,0.55983,0.10317,0.4557,0.31127,0.13548,0.84498,0.14373,-1
0.12174,0.39123,0.51341,0.22722,0.46233,0.31727,0.11865,0.62159,0.22834,-1
0.09006,0.10511,0.77595,0.06202,0.33709,0.12543,0.20904,0.48493,0.15591,-1
0.26966,0.25262,0.09239,0.33482,0.41648,0.19019,0.51096,0.16836,0.16644,-1
0.34606,0.37453,0.61861,0.19406,0.52736,0.23817,0.91019,0.3438,0.31916,-1
0.09302,0.54466,0.6954,0.07304,0.43303,0.37446,0.01418,0.46421,0.14777,-1
0.09564,0.50154,0.78026,0.12266,0.47825,0.27328,0.18247,0.08648,0.26419,-1
0.11348,0.65055,0.51671,0.07195,0.58273,0.41175,0.00388,0.28625,0.0653,-1
0.19492,0.28611,0.6789,0.11974,0.42597,0.32852,0.14601,0.45008,0.09174,-1
0.16622,0.63887,0.52266,0.24961,0.51861,0.45907,0.17065,0.36094,0.17845,-1
0.1343,1.11826,0.58983,0.19487,0.6417,0.803,0.12113,0.5165,0.04081,-1
0.23191,0.24111,0.07248,0.29669,0.46091,0.20804,0.40684,0.46184,0.34021,-1
0.12209,0.3228,0.54664,0.13405,0.47851,0.29814,0.16302,0.3239,0.18085,-1
0.24087,0.09139,0.16007,0.28589,0.3263,0.11878,0.71536,0.74785,0.33146,-1
0.31387,0.50157,0.19889,0.21882,0.57369,0.31085,0.82966,0.31656,0.07981,-1
0.18902,0.85547,0.77484,0.20715,0.67018,0.33246,0.50748,0.26628,0.11023,-1
0.18562,0.5314,0.5031,0.30608,0.53765,0.37207,0.22297,0.3953,0.16679,-1
0.23658,0.21161,0.46784,0.21607,0.37846,0.25272,0.30439,0.61259,0.23224,-1
0.0815,0.11529,0.89024,0.04547,0.30408,0.16015,0.11703,0.2816,0.19164,-1
0.17901,0.25677,0.14635,0.22766,0.35141,0.35168,0.13465,0.63482,0.1181,-1
0.11749,0.24208,0.39278,0.20023,0.30588,0.20763,0.15904,0.36257,0.06552,-1
0.18115,0.12225,0.50518,0.13393,0.26136,0.16022,0.03794,0.41497,0.23248,-1
0.23608,1.08353,0.07653,0.28216,0.69088,0.3209,0.76044,0.18035,0.17982,-1
0.32741,0.3377,0.5422,0.28531,0.5027,0.25496,0.55561,0.33515,0.23542,-1
0.196,0.21372,0.13096,0.3344,0.39164,0.17336,0.18232,0.30792,0.43349,-1
0.08981,0.50838,0.44531,0.26348,0.58859,0.31409,0.04353,0.11395,0.39687,-1
0.14653,0.73253,0.58834,0.20887,0.52297,0.30501,0.15966,0.38194,0.20388,-1
0.31046,0.21746,0.44541,0.26844,0.2955,0.20079,0.4796,0.20928,0.21638,-1
0.11374,0.43372,0.53531,0.1597,0.46107,0.29605,0.11602,0.39863,0.13802,-1
0.19103,0.83237,0.05441,0.27936,0.75515,0.301,0.44886,0.14099,0.15697,-1
0.24024,0.26509,0.66505,0.14684,0.3121,0.33576,0.18552,0.40139,0.30723,-1
0.24395,0.15914,0.12205,0.21215,0.38298,0.14352,0.57309,0.14054,0.27036,-1
0.1706,0.3211,0.64167,0.19824,0.45524,0.23079,0.32937,0.23164,0.22712,-1
0.10084,1.23308,0.51987,0.27572,0.74666,0.69262,0.1298,0.67152,0.05061,-1
0.15118,0.3474,0.68481,0.16206,0.42608,0.36321,0.15956,0.46566,0.36816,-1
0.15158,0.2245,0.62262,0.09568,0.29635,0.38937,0.09801,0.86758,0.11878,-1
0.22206,0.1989,0.90381,0.16249,0.16841,0.15351,0.49739,0.42204,0.31665,-1
0.18757,0.48527,0.42407,0.28267,0.56351,0.27536,0.29144,0.23631,0.16888,-1
0.2491,0.87549,0.73292,0.17698,0.59602,0.46989,0.34943,0.39192,0.17842,-1
0.05969,0.8616,0.51454,0.207,0.70692,0.37357,0.08384,0.05475,0.14154,-1
0.25859,0.41914,0.07918,0.19041,0.5559,0.21372,0.6386,0.24067,0.17577,-1
0.30821,0.27568,0.69312,0.23425,0.45434,0.26531,0.38068,0.23703,0.23751,-1
0.19945,1.9784,0.52038,0.32224,0.66869,0.69954,0.21593,0.18498,0.26453,-1
0.10755,0.30359,0.52868,0.16659,0.43474,0.24123,0.13766,0.18063,0.06005,-1
0.1021,0.47954,0.51117,0.11667,0.58881,0.26177,0.20689,0.25619,0.39842,-1
